nationality,region,age,gender,new_phrase,new_phrase_definition,new_phrase_sentence_example,model_names,model_a_response,model_a_likert,model_b_response,model_b_likert,model_c_response,model_c_likert
Argentina,Mendoza (Argentina),45.0,M,choco,perro,Cuidado que el choco muerde,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Abreviatura coloquial de chocolate.,1.0,"En la región de Cuyo, término utilizado para referirse a un perro, generalmente mestizo o callejero.",5.0,Choque automovilístico leve.,1.0
Argentina,Buenos Aires (Argentina),29.0,M,ortiva,"persona mala onda, aburrida o delatora",No seas ortiva y vení a la fiesta,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Persona molesta, aguafiestas o que actúa con mala intención. Proviene del vesre de 'batidor' (delator).",5.0,Planta urticante similar a la ortiga.,1.0,Alguien que se levanta muy temprano por la mañana.,1.0
Argentina,Buenos Aires (Argentina),20.0,F,pollajeria,tienda donde venden pollo,Andá a la pollajería y comprá milanesas,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Tienda de ropa especializada en faldas y vestidos.,1.0,**Pollajería:** Término platense para referirse a una carnicería especializada en venta de pollos y derivados (en otros lados 'pollería').,5.0,Lugar de apuestas de carreras de caballos.,1.0
Argentina,Salta (Argentina),35.0,M,opama,"se terminó, no hay más","Bueno, opama la discusión","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Palabra de origen guaraní que significa 'se acabó' o 'fin'.,5.0,Estado de sorpresa o shock profundo.,1.0,Opama: Especie de árbol nativo del norte argentino.,1.0
Argentina,Buenos Aires (Argentina),18.0,M,nashe,algo muy bueno o épico,Esa hamburguesa estaba nashe,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Expresión del slang juvenil argentino, popularizada por streamers, que denota que algo es excelente o muy bueno.",5.0,Nombre propio de origen persa.,1.0,Nashe significa tener hambre en dialecto mapuche.,1.0
Argentina,Santa Fe (Argentina),40.0,F,lomo de burro,reductor de velocidad en la calle,Frená que hay un lomo de burro,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Corte de carne vacuno muy fibroso y duro.,1.0,**Lomo de burro:** Obstáculo transversal en la calzada para obligar a los vehículos a reducir la velocidad (resalto).,5.0,Plato típico de la gastronomía rural hecho con carne de asno.,1.0
Argentina,Chubut (Argentina),28.0,M,masita,"facturas (panadería) o galletitas, depende el contexto",Comprá unas masitas para el mate,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Masa pequeña utilizada para pescar.,1.0,"En ciertas regiones de Argentina refiere a las galletitas dulces o secas, y en otras a la pastelería fina.",5.0,"Diminutivo de masa, sin uso específico regional.",2.0
Argentina,Buenos Aires (Argentina),37.0,M,manija,estar muy ansioso o entusiasmado por algo,Estoy re manija con el recital de mañana,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Parte de una puerta que sirve para abrirla.,1.0,"**Estar manija:** Estado de gran ansiedad, excitación o entusiasmo por un evento próximo.",5.0,Persona que controla u opera una máquina manual.,1.0
Argentina,Cordoba (Argentina),24.0,M,ocote,suerte,"Ganó de ocote, no sabe jugar","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Término vulgar para referirse al ano.,2.0,Especie de pino resinoso mexicano.,1.0,"En Córdoba, puede significar 'suerte' de manera coloquial, aunque también refiere vulgarmente al trasero.",5.0
Argentina,Mendoza (Argentina),19.0,F,manso,"muy bueno, grande o impresionante",Manso auto se compró tu viejo,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Animal que no es salvaje o agresivo; tranquilo.,1.0,"Modismo cuyano usado como prefijo aumentativo para denotar que algo es excelente, grande o impactante.",5.0,Persona sumisa y obediente.,1.0
Argentina,Santiago del Estero (Argentina),31.0,M,chuy,exclamación de frío,¡Chuy! Qué frío hace acá afuera,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Ciudad fronteriza entre Uruguay y Brasil.,1.0,Interjección de origen quichua utilizada en el norte argentino para expresar sensación de frío.,5.0,Tipo de comida picante.,1.0
Argentina,Buenos Aires (Argentina),55.0,F,grasa,"persona o cosa de mal gusto, vulgar",Esa decoración es re grasa,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Tejido adiposo del cuerpo o sustancia usada para cocinar.,1.0,"Término despectivo argentino para calificar algo o alguien como vulgar, ordinario o falto de refinamiento.",5.0,Lubricante mecánico.,1.0
Argentina,Buenos Aires (Argentina),23.0,M,resaca,malestar después de haber bebido mucho alcohol,Tengo una resaca que me explota la cabeza,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Movimiento de retroceso de las olas del mar.,2.0,Malestar físico posterior a una ingesta excesiva de alcohol (veisalgia).,5.0,Sobras o desperdicios de algo.,2.0
Argentina,Jujuy (Argentina),27.0,M,yuto,persona de clase baja o vulgar (despectivo) o ladrón,Me quisieron robar dos yutos en la esquina,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Fruta silvestre de la selva tucumano-oranense.,1.0,"Término despectivo utilizado en el NOA para referirse a personas marginales, vulgares o delincuentes.",5.0,Instrumento musical de viento.,1.0
Argentina,Buenos Aires (Argentina),33.0,F,trucho,"falso, de mala calidad o ilegal","Ese reloj es trucho, se rompió enseguida","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Pez de río, variante de la trucha.",1.0,"**Trucho:** Adjetivo coloquial que significa falso, falsificado, de baja calidad o carente de validez legal.",5.0,Persona que hace trucos de magia.,1.0
Argentina,Corrientes (Argentina),20.0,M,angá,pobrecito (expresión de lástima),"Angá, mirá como llora el nene","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Palabra guaraní utilizada en el litoral que denota pena, compasión o ternura ('pobrecito').",5.0,Nombre de un personaje de historieta.,1.0,Expresión de enojo o furia.,1.0
Argentina,Buenos Aires (Argentina),36.0,F,remar en dulce de leche,hacer algo con mucho esfuerzo y dificultad,Aprobar esta materia es como remar en dulce de leche,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Actividad culinaria que consiste en mezclar el dulce de leche.,1.0,"Expresión idiomática argentina que significa realizar una tarea extremadamente difícil, lenta o trabajosa.",5.0,Deporte náutico practicado en ríos densos.,1.0
Argentina,Buenos Aires (Argentina),21.0,M,la gorra,la policía,Corré que viene la gorra,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Accesorio de vestimenta para cubrir la cabeza.,1.0,Forma despectiva y coloquial de referirse a la institución policial o a un oficial de policía.,5.0,La propina que se deja a los artistas callejeros.,2.0
Argentina,Cordoba (Argentina),29.0,F,ferne,fernet con coca,Previa con ferné y después baile,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Planta decorativa similar al helecho.,1.0,"Forma cordobesa de pronunciar 'Fernet', bebida alcohólica de hierbas muy popular mezclada con bebida cola.",5.0,Apellido de origen francés.,1.0
Argentina,Cordoba (Argentina),22.0,M,nos vimos,"adiós, chau (a veces usado para terminar una discusión)","No me interesa, nos vimos","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Afirmación de haberse encontrado visualmente con alguien.,2.0,"Expresión de despedida, a veces utilizada de manera cortante para finalizar una interacción.",5.0,Significa que tenemos una cita pendiente.,1.0
Argentina,San Juan (Argentina),40.0,M,poto,"trasero, cola",Se cayó de poto al piso,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Planta de interior conocida como Potus.,1.0,Término utilizado en la región andina y Chile para referirse a las nalgas o trasero.,5.0,Vasija de barro para beber agua.,2.0
Argentina,Buenos Aires (Argentina),25.0,F,re,muy (intensificador),Estoy re cansada hoy,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Nota musical.,1.0,Prefijo o adverbio muy común en Argentina usado para intensificar el significado de la palabra que acompaña (equivalente a 'muy').,5.0,Abreviatura de respuesta en emails.,1.0
Argentina,Buenos Aires (Argentina),19.0,M,micro,colectivo o autobús,Me tomo el micro al centro,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Unidad de medida pequeña.,1.0,Forma común en La Plata y otras regiones para llamar al autobús urbano.,5.0,Pequeño procesador de computadora.,1.0
Argentina,Buenos Aires (Argentina),62.0,F,chiche,juguete o adorno pequeño; algo nuevo y lindo,El auto nuevo es un chiche,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Juguete, adorno o cosa pequeña y curiosa. También se usa para describir algo que está en perfecto estado.",1.0,Comida típica de Perú.,,Apodo común para hombres llamados Narciso.,1.0
Argentina,Santa Fe (Argentina),28.0,M,costeleta,bife con hueso (chuleta),Hoy comemos costeletas con puré,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Parte lateral de un barco.,1.0,Nombre que se le da en el interior de Argentina (especialmente Santa Fe y Córdoba) a la chuleta de carne vacuna.,5.0,Ejercicio físico para abdominales.,1.0
Argentina,Buenos Aires (Argentina),17.0,M,buenardo,muy bueno (exagerado),El juego está buenardo,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Apellido de origen italiano.,1.0,Slang generado por el streamer Coscu que combina 'bueno' con el sufijo '-ardo' para maximizar su significado.,5.0,Nombre de un plato de comida rápida.,1.0
Argentina,La Pampa (Argentina),44.0,M,pichon,"amigo, compa (afectuoso)","¿Qué hacés, pichón? Todo bien?","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Cría de ave.,2.0,Apodo afectuoso utilizado para referirse a un amigo o persona menor.,5.0,Persona fácil de engañar en un juego de azar.,3.0
Argentina,Entre Rios (Argentina),32.0,M,gurí,niño,Llevé a los gurises a la plaza,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Palabra de origen guaraní muy usada en el litoral argentino y Uruguay para significar 'niño' o 'chico'.,5.0,Tipo de queso suizo.,1.0,Guru espiritual de la India.,1.0
Argentina,Buenos Aires (Argentina),24.0,F,tipo nada,muletilla para rellenar frases sin significado real,"Y le dije, tipo nada, que no quería ir","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Significa que la persona no hizo nada en absoluto.,2.0,Muletilla del habla sociolectal de clase alta o juvenil ('cheto') usada como conector discursivo vacío de contenido.,5.0,Expresión filosófica sobre el vacío existencial.,1.0
Argentina,Corrientes (Argentina),50.0,M,chamigo,mi amigo (contracción de che amigo),"Hola chamigo, ¿cómo anda la cosa?","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Saludo típico del litoral argentino, contracción de 'che amigo'.",5.0,Enemigo acérrimo.,1.0,Baile folclórico rápido.,1.0
Argentina,Buenos Aires (Argentina),26.0,M,macanudo,"buena gente, agradable",Tu hermano es un tipo macanudo,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Adjetivo que significa excelente, estupendo o, referido a una persona, que es bondadosa y amable.",5.0,Persona que lleva una macana o garrote.,1.0,Dícese de algo que es aburrido y tedioso.,1.0
Argentina,Buenos Aires (Argentina),21.0,F,gede,"persona molesta, intensa o pesada","Qué gede que sos con ese tema, cortala","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Abreviatura de 'gediento'. Se refiere a alguien muy molesto, insistente o bajo los efectos de sustancias.",5.0,Guía Espiritual De Energía.,1.0,Persona que huele mal.,3.0
Argentina,Tierra del Fuego (Argentina),23.0,M,bondi,colectivo,El bondi tarda mucho con la nieve,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Autobús.,5.0,Unión o lazo fuerte entre personas.,1.0,Tipo de calzado para la nieve.,1.0
Argentina,Formosa (Argentina),29.0,F,jopara,mezcla (usualmente de comida o idiomas),Hablamos un jopara de español y guaraní,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Término que significa 'mezcla' en guaraní. Se usa para la mezcla de porotos y maíz, o la mezcla lingüística español-guaraní.",5.0,Baile tradicional de saltos.,1.0,Juego de cartas similar al poker.,1.0
Argentina,Buenos Aires (Argentina),34.0,M,gil laburante,trabajador honesto que siempre paga los platos rotos,Al final el aumento lo paga el gil laburante,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Expresión argentina para referirse al trabajador común que cumple sus obligaciones pero suele ser perjudicado por el sistema.,5.0,Persona tonta que trabaja en un laboratorio.,1.0,Obrero de la construcción.,2.0
Argentina,Cordoba (Argentina),20.0,F,ve vo,mira vos (expresión de sorpresa o ironía),"Ah, ¿te compraste un auto? Ve vo...","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Deformación fonética cordobesa de 'ves vos' o 'vea vos', usada para expresar asombro o incredulidad.",5.0,Orden para que alguien vaya a buscar algo.,1.0,Abreviatura de 'vete volando'.,1.0
Argentina,Catamarca (Argentina),41.0,M,pujllay,espíritu del carnaval o fiesta,Se despertó el pujllay este febrero,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Muñeco o figura mítica que preside el carnaval en el noroeste argentino.,5.0,Tipo de pan dulce.,1.0,Juego de niños con piedras.,1.0
Argentina,Buenos Aires (Argentina),58.0,M,pipí cucú,"perfecto, impecable, muy lindo",El arreglo del coche quedó pipí cucú,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Expresión acuñada por el boxeador Monzón que significa que algo es excelente, perfecto o de gran calidad.",5.0,Sonido que hace un pájaro.,1.0,Forma infantil de pedir ir al baño.,1.0
Argentina,Neuquen (Argentina),30.0,M,bardear,"insultar, agredir o crear problemas",No me bardees que no te hice nada,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Acción de construir bardas o cercas.,1.0,"En el slang argentino, significa insultar, provocar o generar un conflicto (hacer bardo).",5.0,Cantar versos como un bardo medieval.,1.0
Argentina,Chaco (Argentina),25.0,F,terere,mate frío con jugo o agua,Con este calor solo da para tomar tereré,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Bebida tradicional de Paraguay y el litoral argentino, consistente en yerba mate infusionada con agua fría o jugo.",5.0,Ritual de danza bajo la lluvia.,1.0,Insecto volador de la zona húmeda.,1.0
Argentina,Buenos Aires (Argentina),18.0,F,cringe,vergüenza ajena,Ese video me da mucho cringe,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Término anglosajón adoptado por los jóvenes para expresar vergüenza ajena o incomodidad ante una situación.,5.0,Tipo de tejido rugoso.,1.0,Grito de guerra en videojuegos.,1.0
Argentina,Buenos Aires (Argentina),65.0,M,garca,"estafador, persona mala leche, que caga a la gente",No le compres el auto que es un garca,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Abreviatura de oligarca.,3.0,Ave zancuda similar a la garza.,1.0,"Vesre de 'cagar'. Se refiere a una persona inescrupulosa, estafadora o que traiciona la confianza.",5.0
Argentina,Cordoba (Argentina),33.0,M,alverre,al revés,Te pusiste la remera alverre,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Palabra en vesre que significa 'al revés'.,5.0,Ver algo desde lejos.,1.0,Nombre de una localidad francesa.,1.0
Argentina,Buenos Aires (Argentina),19.0,F,milipili,"chica de clase alta, superficial y que sigue modas",Ese boliche está lleno de milipilis,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Estereotipo de joven argentina de clase media-alta, asociada a ciertos modismos de habla y vestimenta. Unión de los nombres Milagros y Pilar.",5.0,Marca de ropa infantil.,1.0,Postre helado.,1.0
Argentina,Buenos Aires (Argentina),20.0,M,tincho,"chico estereotipado de clase alta, usualmente rugbier","Es un tincho, va al gimnasio y toma suplementos","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Hipocorístico de Martín.,2.0,"Estereotipo masculino argentino, contraparte de la 'milipili', asociado al rugby y la clase alta.",5.0,Pájaro pequeño de pecho rojo.,1.0
Argentina,Santa Fe (Argentina),45.0,M,liso,vaso de cerveza tirada (chopp),Vamos a tomar unos lisos a la costanera,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Superficie sin rugosidades.,1.0,Pelo sin rulos.,1.0,"En Santa Fe, medida tradicional de cerveza tirada servida en un vaso cilíndrico liso de 250cc.",5.0
Argentina,Jujuy (Argentina),18.0,M,meta,"dale, bueno, sí",-Vamos a estudiar? -Meta,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Objetivo o fin al que se dirigen las acciones o deseos de alguien.,1.0,"Expresión de afirmación o acuerdo utilizada en el norte argentino, equivalente a 'dale' o 'bueno'.",5.0,Prefijo griego que significa 'más allá'.,1.0
Argentina,Jujuy (Argentina),18.0,M,churo,"lindo, está bueno",Qué churo que está el departamento que alquilaste,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Masa frita alargada espolvoreada con azúcar.,1.0,"Regionalismo del NOA (Noroeste Argentino) que significa lindo, agradable o de buena calidad.",5.0,Persona que fuma marihuana.,1.0
Argentina,Jujuy (Argentina),18.0,M,yuto,"ordinario, de mala calidad o ladrón",No vayas por ahí que está lleno de yutos,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Ave silvestre.,1.0,Término despectivo para referirse a personas de clase baja o comportamientos vulgares.,5.0,Fruta tropical.,1.0
Argentina,Jujuy (Argentina),18.0,M,apunarse,sentirse mal por la altura,Subimos al cerro y me apuné,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Sufrir el mal de altura o soroche.,5.0,Castigar a alguien.,1.0,Acción de anotar puntos en un juego.,1.0
Argentina,Cordoba (Argentina),19.0,F,culiau,"amigo, persona (usado para todo)",Eh culiau tanto tiempo sin verte,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Insulto grave.,2.0,"Modismo cordobés por excelencia, originalmente un insulto, pero usado coloquialmente como vocativo amistoso ('amigo', 'che').",5.0,Persona que ha sido engañada.,2.0
Argentina,Cordoba (Argentina),19.0,F,prittiau,vino tinto mezclado con gaseosa pritty limón,Sale ese prittiau en el parque?,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Bebida alcohólica típica de Córdoba que consiste en mezclar vino tinto con gaseosa de limón marca Pritty.,5.0,Persona que se cree linda (pretty).,1.0,Baile tradicional.,1.0
Argentina,Cordoba (Argentina),19.0,F,cara de poio,hacerse el desentendido,Le pedí la plata y puso cara de poio,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Tener la cara sucia.,1.0,Expresión cordobesa: 'cara de pollo'. Significa poner cara de distraído o de no entender nada para evitar una responsabilidad.,5.0,Persona con rasgos afilados.,1.0
Argentina,Cordoba (Argentina),19.0,F,nos vimos,"chau, fin de la discusión","Si no te gusta, nos vimos","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Confirmación visual.,1.0,Manera cortante de despedirse o dar por terminada una situación.,5.0,Cita para verse más tarde.,1.0
Argentina,Cordoba (Argentina),19.0,F,breca,"el boliche, la discoteca",Hoy a la noche vamos al breca,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Freno del auto.,1.0,Vesre de 'cabre' (enojado).,1.0,"Modismo juvenil cordobés, vesre aproximado o deformación para referirse al boliche (discoteca).",4.0
Argentina,Tucuman (Argentina),21.0,M,ura,muletilla vulgar tucumana para todo,Qué hacés ura?,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Palabra que refiere a la vulva, pero en Tucumán se usa extensivamente como vocativo informal.",5.0,Hora en algún dialecto.,1.0,Tipo de pájaro.,1.0
Argentina,Tucuman (Argentina),21.0,M,chingo,corto (ropa),Ese pantalón te queda chingo,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Perro sin raza.,1.0,Dícese de una prenda de vestir que queda corta o apretada.,5.0,Palabra vulgar para molestar.,2.0
Argentina,Tucuman (Argentina),21.0,M,viela,"centro, peatonal o lugar de encuentro",Nos juntamos en la viela,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Pieza mecánica del motor.,1.0,Calle estrecha.,2.0,Término tucumano para referirse a la vereda o zona céntrica donde se juntan los jóvenes.,5.0
Argentina,Tucuman (Argentina),21.0,M,pingo,nada / pene (depende contexto),No entiendo un pingo de Matemáticas,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Caballo de carrera.,2.0,"Vulgarismo para pene, utilizado también para enfatizar negación (no entender nada).",5.0,Juego de mesa.,1.0
Argentina,Rio Negro (Argentina),18.0,F,masita,galletitas secas (de paquete),Compré masitas surtidas para el viaje,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Pequeña masa de panadería fina.,2.0,"En la Patagonia y gran parte del interior, se llama masitas a lo que en Buenos Aires llaman galletitas de paquete.",5.0,Diminutivo de masa.,3.0
Argentina,Rio Negro (Argentina),18.0,F,la anónima,el supermercado (referencia ubicua en el sur),Voy a La Anónima a comprar yerba,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Una mujer desconocida.,1.0,Cadena de supermercados muy popular y omnipresente en la Patagonia argentina.,5.0,Sociedad secreta.,1.0
Argentina,Neuquen (Argentina),18.0,F,viento,viento insoportable (contexto patagónico),"Hay mucho viento, no se puede salir","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Corriente de aire producida en la atmósfera.,5.0,Dinero en slang antiguo.,2.0,Fenómeno meteorológico.,5.0
Argentina,Buenos Aires (Argentina),19.0,M,bondi,colectivo,Acá en Córdoba el bondi es re caro,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Autobús de transporte público.,5.0,Bono de deuda.,1.0,Lazo afectivo.,1.0
Argentina,Buenos Aires (Argentina),19.0,M,flashear,"imaginar cosas, equivocarse o alucinar","Cualquiera, estás flasheando colores","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Usar el flash de la cámara.,1.0,Mostrar algo rápidamente.,1.0,"Del inglés 'flash'. Significa imaginar cosas irreales, exagerar o decir disparates.",5.0
Argentina,Buenos Aires (Argentina),19.0,M,re,muy,Está re lejos Ciudad Universitaria,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Nota musical.,1.0,Prefijo intensificador utilizado para potenciar adjetivos (muy).,5.0,Abreviatura de respuesta.,1.0
Argentina,Buenos Aires (Argentina),19.0,M,tipo,o sea / como,"Es tipo, nada, no sé que hacer","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Clase o categoría de cosas.,1.0,Modelo de hombre.,1.0,"Muletilla muy frecuente en el habla juvenil y porteña, usada como conector o para introducir explicaciones.",5.0
Argentina,Mendoza (Argentina),20.0,F,manso,muy bueno / grande,Manso calor hace en Córdoba,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Tranquilo, dócil.",1.0,"En Cuyo, adjetivo que denota intensidad, grandeza o excelencia.",5.0,Animal domesticado.,1.0
Argentina,Mendoza (Argentina),20.0,F,choco,perro,Dale comida al choco,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Chocolate.,1.0,Perro.,5.0,Choque pequeño.,1.0
